Catagories,"Lexington Ky, USA","Olomouc, Czech Republic","Brno, Czech Republic","Krakow, Poland","Wroclaw, Poland","Budapest, Hungary","Bratislava, Slovakia"
Restaurants,609.00 $,"6,268.26 Kč","7,693.68 Kč","1,667.53 zł","1,657.04 zł","153,782.16 Ft",393.62 €
"Meal, Inexpensive Restaurant ",132.52 $,"1,627.50 Kč","1,860.00 Kč",372.00 zł,372.00 zł,"37,200.00 Ft",93.00 €
"Meal for 2 People, Mid-range Restaurant, Three-course ",348.75 $,"3,255.00 Kč","4,185.00 Kč",930.00 zł,930.00 zł,"93,000.00 Ft",232.50 €
Domestic Beer (1 pint draught) ,5.52 $,55.22 Kč,63.94 Kč,17.44 zł,16.27 zł,"1,162.50 Ft",2.91 €
Imported Beer (12 oz small bottle),9.30 $,46.50 Kč,63.94 Kč,17.44 zł,17.44 zł,"1,162.50 Ft",3.49 €
Coke/Pepsi (12 oz small bottle),7.85 $,108.11 Kč,138.38 Kč,29.78 zł,23.35 zł,"2,031.64 Ft",6.37 €
Water (12 oz small bottle) ,7.41 $,93.00 Kč,93.05 Kč,29.32 zł,18.34 zł,"1,504.00 Ft",4.96 €
Cappuccino (regular),97.65 $,"1,082.93 Kč","1,289.38 Kč",271.56 zł,279.64 zł,"17,721.52 Ft",50.39 €
Going out,58.87 $,678.99 Kč,860.21 Kč,138.75 zł,137.12 zł,"11,216.94 Ft",37.18 €
"Cinema, International Release, 1 Seat ",31.50 $,399.00 Kč,525.00 Kč,63.00 zł,63.00 zł,"6,300.00 Ft",23.10 €
Domestic Beer (1 pint draught,2.49 $,24.94 Kč,28.88 Kč,7.88 zł,7.35 zł,525.00 Ft,1.31 €
Imported Beer (12 oz small bottle) ,4.20 $,21.00 Kč,28.88 Kč,7.88 zł,7.88 zł,525.00 Ft,1.58 €
Coke/Pepsi (12 oz small bottle) ,1.18 $,16.28 Kč,20.83 Kč,4.48 zł,3.51 zł,305.84 Ft,0.96 €
Water (12 oz small bottle),1.12 $,14.00 Kč,14.01 Kč,4.41 zł,2.76 zł,226.41 Ft,0.75 €
Cappuccino (regular),18.38 $,203.78 Kč,242.63 Kč,51.10 zł,52.62 zł,"3,334.69 Ft",9.48 €
Food at Home,249.34 $,"3,566.63 Kč","3,640.53 Kč",536.69 zł,539.17 zł,"52,835.93 Ft",157.67 €
Loaf of Fresh White Bread (1 lb),7.19 $,76.14 Kč,80.16 Kč,12.86 zł,12.80 zł,"1,409.27 Ft",3.89 €
